fullName,politicalGroup,id,nationalPoliticalGroup,photo,nameAudio,gender_Wiki,gender_2017,gender,dateOfBirth_Wiki,dateOfBirth_Home,dateOfBirth,placeOfBirth,country,homePage
Magdalena ADAMOWICZ,Group of the European People's Party (Christian Democrats),197490,Independent,https://www.europarl.europa.eu/mepphoto/197490.jpg,https://www.europarl.europa.eu/mepaudio/197490.mp3,FEMALE,,FEMALE,"April 10, 1973",,10-04-1973,,Poland,https://www.europarl.europa.eu/meps/en/197490/MAGDALENA_ADAMOWICZ/home
Asim ADEMOV,Group of the European People's Party (Christian Democrats),189525,Citizens for European Development of Bulgaria,https://www.europarl.europa.eu/mepphoto/189525.jpg,https://www.europarl.europa.eu/mepaudio/189525.mp3,MALE,,MALE,"December 3, 1968",03-12-1968,12-03-1968,Dubnitsa,Bulgaria,https://www.europarl.europa.eu/meps/en/189525/ASIM_ADEMOV/home
Isabella ADINOLFI,Group of the European People's Party (Christian Democrats),124831,Forza Italia,https://www.europarl.europa.eu/mepphoto/124831.jpg,https://www.europarl.europa.eu/mepaudio/124831.mp3,FEMALE,FEMALE,FEMALE,"March 27, 1978",,27-03-1978,,Italy,https://www.europarl.europa.eu/meps/en/124831/ISABELLA_ADINOLFI/home
Matteo ADINOLFI,Identity and Democracy Group,197826,Lega,https://www.europarl.europa.eu/mepphoto/197826.jpg,https://www.europarl.europa.eu/mepaudio/197826.mp3,,,MALE,"December 24, 1963",24-12-1963,24-12-1963,Latina,Italy,https://www.europarl.europa.eu/meps/en/197826/MATTEO_ADINOLFI/home
Alex AGIUS SALIBA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,Partit Laburista,https://www.europarl.europa.eu/mepphoto/197403.jpg,https://www.europarl.europa.eu/mepaudio/197403.mp3,MALE,,MALE,"January 31, 1988",31-01-1988,31-01-1988,Pieta,Malta,https://www.europarl.europa.eu/meps/en/197403/ALEX_AGIUS_SALIBA/home
Mazaly AGUILAR,European Conservatives and Reformists Group,198096,VOX,https://www.europarl.europa.eu/mepphoto/198096.jpg,https://www.europarl.europa.eu/mepaudio/198096.mp3,FEMALE,,FEMALE,,20-09-1949,20-09-1949,Cuenca,Spain,https://www.europarl.europa.eu/meps/en/198096/MAZALY_AGUILAR/home
Clara AGUILERA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Español,https://www.europarl.europa.eu/mepphoto/125045.jpg,https://www.europarl.europa.eu/mepaudio/125045.mp3,,FEMALE,FEMALE,"January 3, 1964",03-01-1964,01-03-1964,Granada,Spain,https://www.europarl.europa.eu/meps/en/125045/CLARA_AGUILERA/home
Alviina ALAMETSÄ,Group of the Greens/European Free Alliance,204335,Vihreä liitto,https://www.europarl.europa.eu/mepphoto/204335.jpg,https://www.europarl.europa.eu/mepaudio/204335.mp3,FEMALE,,FEMALE,"September 29, 1992",29-09-1992,29-09-1992,,Finland,https://www.europarl.europa.eu/meps/en/204335/ALVIINA_ALAMETSÄ/home
João ALBUQUERQUE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237224,Partido Socialista,https://www.europarl.europa.eu/mepphoto/237224.jpg,https://www.europarl.europa.eu/mepaudio/237224.mp3,,,MALE,"December 25, 1986",25-12-1986,25-12-1986,Barreiro,Portugal,https://www.europarl.europa.eu/meps/en/237224/JOÃO_ALBUQUERQUE/home
Alexander ALEXANDROV YORDANOV,Group of the European People's Party (Christian Democrats),197836,Union of Democratic Forces,https://www.europarl.europa.eu/mepphoto/197836.jpg,https://www.europarl.europa.eu/mepaudio/197836.mp3,,,MALE,,13-02-1952,13-02-1952,Varna,Bulgaria,https://www.europarl.europa.eu/meps/en/197836/ALEXANDER_ALEXANDROV_YORDANOV/home
François ALFONSI,Group of the Greens/European Free Alliance,96750,Régions et Peuples Solidaires,https://www.europarl.europa.eu/mepphoto/96750.jpg,https://www.europarl.europa.eu/mepaudio/96750.mp3,MALE,MALE,MALE,"September 14, 1953",14-09-1953,14-09-1953,Ajaccio,France,https://www.europarl.europa.eu/meps/en/96750/FRANÇOIS_ALFONSI/home
Atidzhe ALIEVA-VELI,Renew Europe Group,197848,Movement for Rights and Freedoms,https://www.europarl.europa.eu/mepphoto/197848.jpg,https://www.europarl.europa.eu/mepaudio/197848.mp3,FEMALE,,FEMALE,"September 18, 1981",18-09-1981,18-09-1981,Devin,Bulgaria,https://www.europarl.europa.eu/meps/en/197848/ATIDZHE_ALIEVA-VELI/home
Abir AL-SAHLANI,Renew Europe Group,197400,Centerpartiet,https://www.europarl.europa.eu/mepphoto/197400.jpg,https://www.europarl.europa.eu/mepaudio/197400.mp3,FEMALE,,FEMALE,"May 18, 1976",18-05-1976,18-05-1976,Basra,Sweden,https://www.europarl.europa.eu/meps/en/197400/ABIR_AL-SAHLANI/home
Álvaro AMARO,Group of the European People's Party (Christian Democrats),197746,Partido Social Democrata,https://www.europarl.europa.eu/mepphoto/197746.jpg,https://www.europarl.europa.eu/mepaudio/197746.mp3,MALE,,MALE,"May 25, 1953",25-05-1953,25-05-1953,Coimbra,Portugal,https://www.europarl.europa.eu/meps/en/197746/ÁLVARO_AMARO/home
Andris AMERIKS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197783,Gods kalpot Rīgai,https://www.europarl.europa.eu/mepphoto/197783.jpg,https://www.europarl.europa.eu/mepaudio/197783.mp3,MALE,,MALE,"March 5, 1961",05-03-1961,03-05-1961,Riga,Latvia,https://www.europarl.europa.eu/meps/en/197783/ANDRIS_AMERIKS/home
Christine ANDERSON,Identity and Democracy Group,197475,Alternative für Deutschland,https://www.europarl.europa.eu/mepphoto/197475.jpg,https://www.europarl.europa.eu/mepaudio/197475.mp3,FEMALE,,FEMALE,"July 29, 1968",,29-07-1968,,Germany,https://www.europarl.europa.eu/meps/en/197475/CHRISTINE_ANDERSON/home
Rasmus ANDRESEN,Group of the Greens/European Free Alliance,197448,Bündnis 90/Die Grünen,https://www.europarl.europa.eu/mepphoto/197448.jpg,https://www.europarl.europa.eu/mepaudio/197448.mp3,MALE,,MALE,"February 20, 1986",20-02-1986,20-02-1986,Essen,Germany,https://www.europarl.europa.eu/meps/en/197448/RASMUS_ANDRESEN/home
Barry ANDREWS,Renew Europe Group,204332,Fianna Fáil Party,https://www.europarl.europa.eu/mepphoto/204332.jpg,https://www.europarl.europa.eu/mepaudio/204332.mp3,MALE,,MALE,,16-05-1967,16-05-1967,Dublin,Ireland,https://www.europarl.europa.eu/meps/en/204332/BARRY_ANDREWS/home
Eric ANDRIEU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,113892,Parti socialiste,https://www.europarl.europa.eu/mepphoto/113892.jpg,https://www.europarl.europa.eu/mepaudio/113892.mp3,MALE,MALE,MALE,"April 14, 1960",14-04-1960,14-04-1960,Narbonne,France,https://www.europarl.europa.eu/meps/en/113892/ERIC_ANDRIEU/home
Mathilde ANDROUËT,Identity and Democracy Group,197691,Rassemblement national,https://www.europarl.europa.eu/mepphoto/197691.jpg,https://www.europarl.europa.eu/mepaudio/197691.mp3,FEMALE,,FEMALE,"July 3, 1984",03-07-1984,07-03-1984,Rueil Malmaison,France,https://www.europarl.europa.eu/meps/en/197691/MATHILDE_ANDROUËT/home
Nikos ANDROULAKIS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125110,PASOK-KINAL,https://www.europarl.europa.eu/mepphoto/125110.jpg,https://www.europarl.europa.eu/mepaudio/125110.mp3,MALE,MALE,MALE,"February 7, 1979",07-02-1979,02-07-1979,Athina,Greece,https://www.europarl.europa.eu/meps/en/125110/NIKOS_ANDROULAKIS/home
